City,Country,Climate-related hazards (ORIGINAL),Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Kuala Lumpur,Malaysia,Extreme heat,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,1766700,"3.139, 101.687 "
Kuala Lumpur,Malaysia,Urban flooding,Urban flooding,Medium Low,Medium,Increasing,Increasing,1766700,"3.139, 101.687 "
Lagos,Nigeria,Coastal flooding,Coastal flooding,Medium,Medium,Increasing,None,24600000,"6.52437, 3.3792 "
Lagos,Nigeria,Extreme heat,Extreme heat,High,High,Increasing,Increasing,24600000,"6.52437, 3.3792 "
Lagos,Nigeria,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,None,24600000,"6.52437, 3.3792 "
Lima,Peru,Drought,Drought,Medium High,Medium High,Increasing,Increasing,8574974,"-12.0433, -77.0283 "
Lima,Peru,Extreme heat,Extreme heat,Medium High,Medium High,Increasing,Increasing,8574974,"-12.0433, -77.0283 "
Lima,Peru,Mass movement,Mass movement,High,High,Increasing,Increasing,8574974,"-12.0433, -77.0283 "
Lima,Peru,River flooding,River flooding,Medium,Medium,Do not know,Increasing,8574974,"-12.0433, -77.0283 "
Lisbon,Portugal,Drought,Drought,Medium Low,Low,Increasing,No Data,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Extreme wind,Extreme wind,Medium High,Medium High,Increasing,No Data,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,No Data,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,547733,"38.7223, -9.13933 "
London,United Kingdom of Great Britain and Northern Ireland,Coastal flooding,Coastal flooding,Low,High,None,Increasing,8961989,"51.5048, -0.07868 "
London,United Kingdom of Great Britain and Northern Ireland,Drought,Drought,Medium High,High,Increasing,Increasing,8961989,"51.5048, -0.07868 "
London,United Kingdom of Great Britain and Northern Ireland,Extreme heat,Extreme heat,Medium,Medium High,Increasing,Increasing,8961989,"51.5048, -0.07868 "
London,United Kingdom of Great Britain and Northern Ireland,River flooding,River flooding,Medium High,Medium High,Increasing,Increasing,8961989,"51.5048, -0.07868 "
London,United Kingdom of Great Britain and Northern Ireland,Urban flooding,Urban flooding,Medium High,High,Increasing,Increasing,8961989,"51.5048, -0.07868 "
Los Angeles,United States of America,Coastal flooding,Coastal flooding,Low,Medium High,Increasing,Increasing,3819538,"34.0522, -118.244 "
Los Angeles,United States of America,Drought,Drought,High,High,Increasing,Increasing,3819538,"34.0522, -118.244 "
Los Angeles,United States of America,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,Medium High,Increasing,Increasing,3819538,"34.0522, -118.244 "
Los Angeles,United States of America,Heat stress,Heat stress,High,Medium High,Increasing,Increasing,3819538,"34.0522, -118.244 "
Los Angeles,United States of America,Heavy precipitation,Heavy precipitation,High,Medium High,Increasing,Do not know,3819538,"34.0522, -118.244 "
